slide_key,narration
story_begining_01_prelude,"During a storm night, in a dark temple of the shadow goddess. A sound from the mystery goddess sculpture whispered: You will be a commander that starts the war, conquer the land, and bring the honor and believers for me. I bestow you the war wisdom."
story_begining_02_prelude,"A new born baby in the arms of a nun, is sleeping. The nun can't hear anything from the goddess sculpture whispered, but the sleeping baby..."
story_begining_03_prelude,"The sleeping baby hears the goddess whisper... then suddenly opened his eyes. His gaze showing a glance of matureness that doesn't belong to a child. In his mind thinking to himself: ""I won't believe you, Fake god"""
story_begining_04_prelude,"The baby grew up in a great general's family. He is receiving his first mission from his father: defeat all the bandits who are plundering this land."
story_begining_01_stage1,"So, you are the general's son? Prove me you are worthy of the general's name."
story_begining_01_stage3,"You are the general's son. You are the future of the general's family. You are the future of the land. You are the future of the empire. You are the future of the world."
story_begining_01_stage4,"You are the general's son. You are the future of the general's family. You are the future of the land. You are the future of the empire. You are the future of the world."
story_begining_01_final,"You are the general's son. You are the future of the general's family. You are the future of the land. You are the future of the empire. You are the future of the world."
story_ending_01_stage1,"You have conquered the land. You have brought the honor and believers for the goddess. You have become the general's son. You have become the future of the general's family. You have become the future of the land. You have become the future of the empire. You have become the future of the world."
story_ending_01_stage2,"You have conquered the land. You have brought the honor and believers for the goddess. You have become the general's son. You have become the future of the general's family. You have become the future of the land. You have become the future of the empire. You have become the future of the world."
story_ending_01_stage3,"You have conquered the land. You have brought the honor and believers for the goddess. You have become the general's son. You have become the future of the general's family. You have become the future of the land. You have become the future of the empire. You have become the future of the world."
story_ending_01_stage4,"You have conquered the land. You have brought the honor and believers for the goddess. You have become the general's son. You have become the future of the general's family. You have become the future of the land. You have become the future of the empire. You have become the future of the world."
story_ending_01_stage5,"You have conquered the land. You have brought the honor and believers for the goddess. You have become the general's son. You have become the future of the general's family. You have become the future of the land. You have become the future of the empire. You have become the future of the world."
