stage_id,stage_index,stage_name,node_id,node_type,node_tier,encounter_id,enemy_level,reward_tier,wave_id,wave_index,spawn_unit_id,spawn_count,spawn_time,lane,unit_level,hp_multiplier,damage_multiplier,armor_bonus,move_speed_multiplier,attack_speed_multiplier,is_boss_spawn,notes
stage_3,2,Jade Homeland,1C_1,battle,1,battle_jade_t1,41,1,1C_1_wave_1,1,jade_azure_spear,3,0,north,,,,,,,,
stage_3,2,Jade Homeland,1C_1,battle,1,battle_jade_t1,41,1,1C_1_wave_1,1,jade_crossbow_gunners,2,5,center,,,,,,,,
stage_3,2,Jade Homeland,1C_1,battle,1,battle_jade_t1,41,1,1C_1_wave_2,2,jade_azure_spear,4,0,north,,,,,,,,
stage_3,2,Jade Homeland,1C_1,battle,1,battle_jade_t1,41,1,1C_1_wave_2,2,jade_shuriken_ninjas,3,5,center,,,,,,,,
stage_3,2,Jade Homeland,1C_1,battle,1,battle_jade_t1,41,1,1C_1_wave_3,3,jade_azure_spear,4,0,north,,,,,,,,
stage_3,2,Jade Homeland,1C_1,battle,1,battle_jade_t1,41,1,1C_1_wave_3,3,jade_crossbow_gunners,3,0,center,,,,,,,,
stage_3,2,Jade Homeland,1C_1,battle,1,battle_jade_t1,41,1,1C_1_wave_3,3,jade_shuriken_ninjas,3,6,south,,,,,,,,
stage_3,2,Jade Homeland,2B_1,battle,1,battle_jade_t2,43,2,2B_1_wave_1,1,jade_storm_monks,3,0,north,,,,,,,,
stage_3,2,Jade Homeland,2B_1,battle,1,battle_jade_t2,43,2,2B_1_wave_1,1,jade_crossbow_gunners,3,0,center,,,,,,,,
stage_3,2,Jade Homeland,2B_1,battle,1,battle_jade_t2,43,2,2B_1_wave_1,1,jade_shuriken_ninjas,3,4,south,,,,,,,,
stage_3,2,Jade Homeland,2B_1,battle,1,battle_jade_t2,43,2,2B_1_wave_2,2,jade_paper_doll,3,0,north,,,,,,,,
stage_3,2,Jade Homeland,2B_1,battle,1,battle_jade_t2,43,2,2B_1_wave_2,2,jade_azure_spear,4,4,center,,,,,,,,
stage_3,2,Jade Homeland,2B_1,battle,1,battle_jade_t2,43,2,2B_1_wave_2,2,jade_spirit_lantern,1,8,center,,,,,,,,
stage_3,2,Jade Homeland,2B_1,battle,1,battle_jade_t2,43,2,2B_1_wave_3,3,jade_halberd_guardian,2,0,north,,,,,,,,
stage_3,2,Jade Homeland,2B_1,battle,1,battle_jade_t2,43,2,2B_1_wave_3,3,jade_storm_monks,3,0,center,,,,,,,,
stage_3,2,Jade Homeland,2B_1,battle,1,battle_jade_t2,43,2,2B_1_wave_3,3,jade_crossbow_gunners,4,6,south,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_1,1,jade_halberd_guardian,2,0,north,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_1,1,jade_storm_monks,3,0,center,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_1,1,jade_crossbow_gunners,3,4,south,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_2,2,jade_chi_dragoon,2,0,north,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_2,2,jade_paper_doll,3,0,center,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_2,2,jade_shuriken_ninjas,4,6,south,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_3,3,jade_blue_oni,2,0,north,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_3,3,jade_storm_monks,3,3,center,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_3,3,jade_spirit_lantern,1,10,center,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_4,4,jade_halberd_guardian,2,0,north,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_4,4,jade_shadowblade_assassins,3,4,center,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_4,4,jade_crossbow_gunners,4,8,south,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_5,5,jade_halberd_guardian,2,0,north,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_5,5,jade_chi_dragoon,2,0,center,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_5,5,jade_blue_oni,2,4,south,,,,,,,,
stage_3,2,Jade Homeland,3C_1,elite,1,elite_jade_t2,47,2,3C_1_wave_5,5,jade_shikigami_fox,3,8,north,,,,,,,,
stage_3,2,Jade Homeland,4E_1,battle,2,battle_jade_t2,47,3,4E_1_wave_1,1,jade_storm_monks,3,0,north,,,,,,,,
stage_3,2,Jade Homeland,4E_1,battle,2,battle_jade_t2,47,3,4E_1_wave_1,1,jade_crossbow_gunners,3,0,center,,,,,,,,
stage_3,2,Jade Homeland,4E_1,battle,2,battle_jade_t2,47,3,4E_1_wave_1,1,jade_shuriken_ninjas,3,4,south,,,,,,,,
stage_3,2,Jade Homeland,4E_1,battle,2,battle_jade_t2,47,3,4E_1_wave_2,2,jade_paper_doll,3,0,north,,,,,,,,
stage_3,2,Jade Homeland,4E_1,battle,2,battle_jade_t2,47,3,4E_1_wave_2,2,jade_azure_spear,4,4,center,,,,,,,,
stage_3,2,Jade Homeland,4E_1,battle,2,battle_jade_t2,47,3,4E_1_wave_2,2,jade_spirit_lantern,1,8,center,,,,,,,,
stage_3,2,Jade Homeland,4E_1,battle,2,battle_jade_t2,47,3,4E_1_wave_3,3,jade_halberd_guardian,2,0,north,,,,,,,,
stage_3,2,Jade Homeland,4E_1,battle,2,battle_jade_t2,47,3,4E_1_wave_3,3,jade_storm_monks,3,0,center,,,,,,,,
stage_3,2,Jade Homeland,4E_1,battle,2,battle_jade_t2,47,3,4E_1_wave_3,3,jade_crossbow_gunners,4,6,south,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_1,1,jade_halberd_guardian,2,0,north,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_1,1,jade_storm_monks,3,0,center,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_1,1,jade_crossbow_gunners,3,4,south,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_2,2,jade_chi_dragoon,2,0,north,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_2,2,jade_paper_doll,3,0,center,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_2,2,jade_shuriken_ninjas,4,6,south,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_3,3,jade_blue_oni,2,0,north,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_3,3,jade_storm_monks,3,3,center,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_3,3,jade_spirit_lantern,1,10,center,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_4,4,jade_halberd_guardian,2,0,north,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_4,4,jade_shadowblade_assassins,3,4,center,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_4,4,jade_crossbow_gunners,4,8,south,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_5,5,jade_halberd_guardian,2,0,north,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_5,5,jade_chi_dragoon,2,0,center,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_5,5,jade_blue_oni,2,4,south,,,,,,,,
stage_3,2,Jade Homeland,5D_1,elite,2,elite_jade_t2,51,3,5D_1_wave_5,5,jade_shikigami_fox,3,8,north,,,,,,,,
stage_3,2,Jade Homeland,5B_1,battle,2,battle_jade_t1,49,3,5B_1_wave_1,1,jade_azure_spear,3,0,north,,,,,,,,
stage_3,2,Jade Homeland,5B_1,battle,2,battle_jade_t1,49,3,5B_1_wave_1,1,jade_crossbow_gunners,2,5,center,,,,,,,,
stage_3,2,Jade Homeland,5B_1,battle,2,battle_jade_t1,49,3,5B_1_wave_2,2,jade_azure_spear,4,0,north,,,,,,,,
stage_3,2,Jade Homeland,5B_1,battle,2,battle_jade_t1,49,3,5B_1_wave_2,2,jade_shuriken_ninjas,3,5,center,,,,,,,,
stage_3,2,Jade Homeland,5B_1,battle,2,battle_jade_t1,49,3,5B_1_wave_3,3,jade_azure_spear,4,0,north,,,,,,,,
stage_3,2,Jade Homeland,5B_1,battle,2,battle_jade_t1,49,3,5B_1_wave_3,3,jade_crossbow_gunners,3,0,center,,,,,,,,
stage_3,2,Jade Homeland,5B_1,battle,2,battle_jade_t1,49,3,5B_1_wave_3,3,jade_shuriken_ninjas,3,6,south,,,,,,,,
stage_3,2,Jade Homeland,6A_1,battle,2,battle_jade_t2,51,3,6A_1_wave_1,1,jade_storm_monks,3,0,north,,,,,,,,
stage_3,2,Jade Homeland,6A_1,battle,2,battle_jade_t2,51,3,6A_1_wave_1,1,jade_crossbow_gunners,3,0,center,,,,,,,,
stage_3,2,Jade Homeland,6A_1,battle,2,battle_jade_t2,51,3,6A_1_wave_1,1,jade_shuriken_ninjas,3,4,south,,,,,,,,
stage_3,2,Jade Homeland,6A_1,battle,2,battle_jade_t2,51,3,6A_1_wave_2,2,jade_paper_doll,3,0,north,,,,,,,,
stage_3,2,Jade Homeland,6A_1,battle,2,battle_jade_t2,51,3,6A_1_wave_2,2,jade_azure_spear,4,4,center,,,,,,,,
stage_3,2,Jade Homeland,6A_1,battle,2,battle_jade_t2,51,3,6A_1_wave_2,2,jade_spirit_lantern,1,8,center,,,,,,,,
stage_3,2,Jade Homeland,6A_1,battle,2,battle_jade_t2,51,3,6A_1_wave_3,3,jade_halberd_guardian,2,0,north,,,,,,,,
stage_3,2,Jade Homeland,6A_1,battle,2,battle_jade_t2,51,3,6A_1_wave_3,3,jade_storm_monks,3,0,center,,,,,,,,
stage_3,2,Jade Homeland,6A_1,battle,2,battle_jade_t2,51,3,6A_1_wave_3,3,jade_crossbow_gunners,4,6,south,,,,,,,,
stage_3,2,Jade Homeland,7B_1,elite,3,elite_jade_t3,54,3,7B_1_wave_1,1,jade_halberd_guardian,3,0,north,,,,,,,,
stage_3,2,Jade Homeland,7B_1,elite,3,elite_jade_t3,54,3,7B_1_wave_1,1,jade_blue_oni,3,4,center,,,,,,,,
stage_3,2,Jade Homeland,7B_1,elite,3,elite_jade_t3,54,3,7B_1_wave_1,1,jade_crossbow_gunners,4,8,south,,,,,,,,
stage_3,2,Jade Homeland,7B_1,elite,3,elite_jade_t3,54,3,7B_1_wave_2,2,jade_chi_dragoon,3,0,north,,,,,,,,
