id,name,description,icon_key,options_json
event_shrine_s1,Ancient Cog Shrine,"A glowing shrine hums with arcane gears.",icon_event_shrine,"[{""id"":""pray"",""label"":""Pray"",""effectId"":""heal_fortress_40"",""successChance"":1,""description"":""Heal 40 fortress HP.""},{""id"":""imbue"",""label"":""Imbue Core"",""effectId"":""add_card_rare"",""successChance"":0.7,""description"":""Gain 1 rare card.""}]"
event_cache_s1,Abandoned Cache,"Workers fled, leaving volatile supplies behind.",icon_event_cache,"[{""id"":""open"",""label"":""Force it open"",""effectId"":""gain_relic_common"",""successChance"":0.85,""description"":""Gain 1 common relic.""},{""id"":""rig"",""label"":""Rig explosives"",""effectId"":""gain_gold_80"",""successChance"":0.65,""description"":""Gain 80 gold.""}]"
event_geyser_s1,Steam Venting,"A volatile vent spits sparks and steam.",icon_event_geyser,"[{""id"":""channel"",""label"":""Channel steam"",""effectId"":""gain_gold_60"",""successChance"":0.7,""description"":""Gain 60 gold.""},{""id"":""vent"",""label"":""Vent safely"",""effectId"":""heal_fortress_40"",""successChance"":1,""description"":""Heal 40 fortress HP.""}]"
event_geyser_s2,Steam Venting,"A magma geyser erupts unpredictably.",icon_event_geyser,"[{""id"":""channel"",""label"":""Channel steam"",""effectId"":""gain_gold_90"",""successChance"":0.6,""description"":""Gain 90 gold.""},{""id"":""vent"",""label"":""Vent safely"",""effectId"":""heal_fortress_60"",""successChance"":1,""description"":""Heal 60 fortress HP.""}]"
event_magma_s1,Molten Tribunal,"Lava druids judge trespassers.",icon_event_magma,"[{""id"":""tribute"",""label"":""Pay tribute"",""effectId"":""lose_gold_80"",""successChance"":1,""description"":""Lose 80 gold.""},{""id"":""boast"",""label"":""Boast prowess"",""effectId"":""add_card_rare"",""successChance"":0.6,""description"":""Gain 1 rare card.""}]"
event_magma_s2,Molten Tribunal,"Lava druids judge trespassers.",icon_event_magma,"[{""id"":""tribute"",""label"":""Pay tribute"",""effectId"":""lose_gold_100"",""successChance"":1,""description"":""Lose 100 gold.""},{""id"":""boast"",""label"":""Boast prowess"",""effectId"":""add_card_epic"",""successChance"":0.5,""description"":""Gain 1 epic card.""}]"
event_tempest,Tempest Relic,"A lightning cage traps an ancient relic.",icon_event_tempest,"[{""id"":""stabilize"",""label"":""Stabilize field"",""effectId"":""gain_relic_epic"",""successChance"":0.55,""description"":""Gain 1 epic relic.""},{""id"":""siphon"",""label"":""Siphon power"",""effectId"":""gain_gold_150"",""successChance"":0.8,""description"":""Gain 150 gold.""}]"
event_stormaltar,Storm Altar,"Runes demand a sacrifice for safe passage.",icon_event_altar,"[{""id"":""sacrifice"",""label"":""Offer card"",""effectId"":""remove_card"",""successChance"":1,""description"":""Lose 1 card from your deck.""},{""id"":""defy"",""label"":""Defy the altar"",""effectId"":""add_curse"",""successChance"":0.4,""description"":""Gain 1 curse relic.""}]"
event_celestial_market,Celestial Market,"Interdimensional merchants beckon.",icon_event_market,"[{""id"":""barter"",""label"":""Barter for supplies"",""effectId"":""gain_random_card"",""successChance"":1,""description"":""Gain 1 common card.""},{""id"":""consult"",""label"":""Consult the seers"",""effectId"":""add_card_rare"",""successChance"":0.5,""description"":""Gain 1 rare card.""}]"
event_cursed_forge,Cursed Forge,"A forge whispers promises of power.",icon_event_cursed,"[{""id"":""forge"",""label"":""Forge a relic"",""effectId"":""gain_relic_cursed"",""successChance"":0.75,""description"":""Gain 1 cursed relic.""},{""id"":""seal"",""label"":""Seal the forge"",""effectId"":""heal_fortress_30"",""successChance"":1,""description"":""Heal 30 fortress HP.""}]"
event_wayfarer_s1,Wayfarer Camp,"A caravan offers aid for a price.",icon_event_market,"[{""id"":""rations"",""label"":""Share rations"",""effectId"":""heal_fortress_30"",""successChance"":1,""description"":""Heal 30 fortress HP.""},{""id"":""maps"",""label"":""Trade maps"",""effectId"":""gain_gold_70"",""successChance"":0.8,""description"":""Gain 70 gold.""},{""id"":""scout"",""label"":""Hire a scout"",""effectId"":""gain_random_card"",""successChance"":0.7,""description"":""Gain 1 common card.""}]"
event_ruined_armory_s1,Ruined Armory,"Dusty racks still hold functional gear.",icon_event_cache,"[{""id"":""salvage"",""label"":""Salvage weapon"",""effectId"":""add_card_rare"",""successChance"":0.7,""description"":""Gain 1 rare card.""},{""id"":""plating"",""label"":""Strip plating"",""effectId"":""gain_gold_90"",""successChance"":0.8,""description"":""Gain 90 gold.""},{""id"":""trap"",""label"":""Trigger a trap"",""effectId"":""lose_fortress_40"",""successChance"":1,""description"":""Lose 40 fortress HP.""}]"
